alignment	ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	best_phenotype	complexity	gen	generalization	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	precision	regens	runtime_error	simplicity	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search
0.9937143	0.63417938	97.67	10.1	102.238	68.67	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	72	0.95633166	0	495	20	696	466	36	4	12	7	0.87449674	0	0	0.941176471	0	5.819822311	36500	691.0717385	19329	47.04383562
0.9937143	0.648646631	95.256	9.906	98.586	66.256	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	73	0.95633166	0	493	20	712	464	36	4	12	7	0.87449674	0	0	0.941176471	0	6.087671995	37000	697.1594105	19516	47.25405405
0.9937143	0.620262084	99.274	10.302	104.622	70.274	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	74	0.95633166	0	491	20	705	462	36	4	12	7	0.87449674	0	0	0.941176471	0	7.385671854	37500	704.5450823	19725	47.4
0.9937143	0.628242574	95.452	9.928	98.78	66.452	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	75	0.95633166	0	496	20	705	467	36	4	12	7	0.87449674	0	0	0.941176471	0	6.074640989	38000	710.6197233	19908	47.61052632
0.9937143	0.640643972	92.084	9.808	93.708	63.084	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	76	0.95633166	0	489	20	705	460	36	4	12	7	0.87449674	0	0	0.941176471	0	8.108871222	38500	718.7285945	20083	47.83636364
0.9937143	0.613197092	94.258	10.06	96.972	65.258	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	77	0.95633166	0	423	20	602	394	36	4	12	7	0.87449674	0	0	0.941176471	0	5.021436691	39000	723.7500312	20278	48.00512821
0.9937143	0.631725407	98.318	10.15	103.308	69.318	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	78	0.95633166	0	494	20	713	465	36	4	12	7	0.87449674	0	0	0.941176471	0	7.035900116	39500	730.7859313	20473	48.16962025
0.9937143	0.632153398	98.592	9.998	103.654	69.592	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	79	0.95633166	0	495	20	715	466	36	4	12	7	0.87449674	0	0	0.941176471	0	9.036171436	40000	739.8221028	20658	48.355
0.9937143	0.637901618	93.684	9.85	96.266	64.684	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	80	0.95633166	0	487	20	707	458	36	4	12	7	0.87449674	0	0	0.941176471	0	12.69749069	40500	752.5195935	20852	48.51358025
0.9937143	0.652810787	93.562	9.944	96.162	64.562	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	81	0.95633166	0	463	20	663	434	36	4	12	7	0.87449674	0	0	0.941176471	0	6.733498096	41000	759.2530916	21039	48.68536585
0.9937143	0.626540734	92.752	10.018	94.772	63.752	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	82	0.95633166	0	492	20	709	463	36	4	12	7	0.87449674	0	0	0.941176471	0	7.524003029	41500	766.7770946	21220	48.86746988
0.9937143	0.645848448	94.34	9.948	97.204	65.34	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	83	0.95633166	0	498	20	708	469	36	4	12	7	0.87449674	0	0	0.941176471	0	8.495530128	42000	775.2726247	21392	49.06666667
